name,new_name,description,filter,scale,formula,comment
UNC_C_BOUNCE_CONTROL,,,,,,
UNC_C_CLOCKTICKS,,,,,,
UNC_C_COUNTER0_OCCUPANCY,,,,,,
UNC_C_FAST_ASSERTED,,,,,,
UNC_C_LLC_LOOKUP.DATA_READ,,,,,,
UNC_C_LLC_LOOKUP.WRITE,,,,,,
UNC_C_LLC_LOOKUP.REMOTE_SNOOP,,,,,,
UNC_C_LLC_LOOKUP.ANY,,All LLC Misses (code+ data rd + data wr - including demand and prefetch),:state=0x1,64,,
UNC_C_LLC_LOOKUP.NID,,,,,,
UNC_C_LLC_LOOKUP.READ,,,,,,
UNC_C_LLC_VICTIMS.M_STATE,,M line evictions from LLC (writebacks to memory),,64,,
UNC_C_LLC_VICTIMS.E_STATE,,,,,,
UNC_C_LLC_VICTIMS.I_STATE,,,,,,
UNC_C_LLC_VICTIMS.F_STATE,,,,,,
UNC_C_LLC_VICTIMS.NID,,,,,,
UNC_C_LLC_VICTIMS.MISS,,,,,,
UNC_C_MISC.RSPI_WAS_FSE,,,,,,
UNC_C_MISC.WC_ALIASING,,,,,,
UNC_C_MISC.STARTED,,,,,,
UNC_C_MISC.RFO_HIT_S,,,,,,
UNC_C_MISC.CVZERO_PREFETCH_VICTIM,,,,,,
UNC_C_MISC.CVZERO_PREFETCH_MISS,,,,,,
UNC_C_RING_AD_USED.UP_EVEN,,,,,,
UNC_C_RING_AD_USED.UP_ODD,,,,,,
UNC_C_RING_AD_USED.DOWN_EVEN,,,,,,
UNC_C_RING_AD_USED.DOWN_ODD,,,,,,
UNC_C_RING_AD_USED.UP,,,,,,
UNC_C_RING_AD_USED.DOWN,,,,,,
UNC_C_RING_AD_USED.ALL,,,,,,
UNC_C_RING_AK_USED.UP_EVEN,,,,,,
UNC_C_RING_AK_USED.UP_ODD,,,,,,
UNC_C_RING_AK_USED.DOWN_EVEN,,,,,,
UNC_C_RING_AK_USED.DOWN_ODD,,,,,,
UNC_C_RING_AK_USED.UP,,,,,,
UNC_C_RING_AK_USED.DOWN,,,,,,
UNC_C_RING_AK_USED.ALL,,,,,,
UNC_C_RING_BL_USED.UP_EVEN,,,,,,
UNC_C_RING_BL_USED.UP_ODD,,,,,,
UNC_C_RING_BL_USED.DOWN_EVEN,,,,,,
UNC_C_RING_BL_USED.DOWN_ODD,,,,,,
UNC_C_RING_BL_USED.UP,,,,,,
UNC_C_RING_BL_USED.DOWN,,,,,,
UNC_C_RING_BL_USED.ALL,,,,,,
UNC_C_RING_BOUNCES.AD,,,,,,
UNC_C_RING_BOUNCES.AK,,,,,,
UNC_C_RING_BOUNCES.BL,,,,,,
UNC_C_RING_BOUNCES.IV,,,,,,
UNC_C_RING_IV_USED.ANY,,,,,,
UNC_C_RING_IV_USED.UP,,,,,,
UNC_C_RING_IV_USED.DOWN,,,,,,
UNC_C_RING_IV_USED.DN,,,,,,
UNC_C_RING_SRC_THRTL,,,,,,
UNC_C_RxR_EXT_STARVED.IRQ,,,,,,
UNC_C_RxR_EXT_STARVED.IPQ,,,,,,
UNC_C_RxR_EXT_STARVED.PRQ,,,,,,
UNC_C_RxR_EXT_STARVED.ISMQ_BIDS,,,,,,
UNC_C_RxR_INSERTS.IRQ,,,,,,
UNC_C_RxR_INSERTS.IRQ_REJ,,,,,,
UNC_C_RxR_INSERTS.IPQ,,,,,,
UNC_C_RxR_INSERTS.PRQ,,,,,,
UNC_C_RxR_INSERTS.PRQ_REJ,,,,,,
UNC_C_RxR_IPQ_RETRY.ANY,,,,,,
UNC_C_RxR_IPQ_RETRY.FULL,,,,,,
UNC_C_RxR_IPQ_RETRY.ADDR_CONFLICT,,,,,,
UNC_C_RxR_IPQ_RETRY.QPI_CREDITS,,,,,,
UNC_C_RxR_IPQ_RETRY2.AD_SBO,,,,,,
UNC_C_RxR_IPQ_RETRY2.TARGET,,,,,,
UNC_C_RxR_IRQ_RETRY.ANY,,,,,,
UNC_C_RxR_IRQ_RETRY.FULL,,,,,,
UNC_C_RxR_IRQ_RETRY.ADDR_CONFLICT,,,,,,
UNC_C_RxR_IRQ_RETRY.RTID,,,,,,
UNC_C_RxR_IRQ_RETRY.QPI_CREDITS,,,,,,
UNC_C_RxR_IRQ_RETRY.IIO_CREDITS,,,,,,
UNC_C_RxR_IRQ_RETRY.NID,,,,,,
UNC_C_RxR_IRQ_RETRY2.AD_SBO,,,,,,
UNC_C_RxR_IRQ_RETRY2.BL_SBO,,,,,,
UNC_C_RxR_IRQ_RETRY2.TARGET,,,,,,
UNC_C_RxR_ISMQ_RETRY.ANY,,,,,,
UNC_C_RxR_ISMQ_RETRY.FULL,,,,,,
UNC_C_RxR_ISMQ_RETRY.RTID,,,,,,
UNC_C_RxR_ISMQ_RETRY.QPI_CREDITS,,,,,,
UNC_C_RxR_ISMQ_RETRY.IIO_CREDITS,,,,,,
UNC_C_RxR_ISMQ_RETRY.WB_CREDITS,,,,,,
UNC_C_RxR_ISMQ_RETRY.NID,,,,,,
UNC_C_RxR_ISMQ_RETRY2.AD_SBO,,,,,,
UNC_C_RxR_ISMQ_RETRY2.BL_SBO,,,,,,
UNC_C_RxR_ISMQ_RETRY2.TARGET,,,,,,
UNC_C_RxR_OCCUPANCY.IRQ,,,,,,
UNC_C_RxR_OCCUPANCY.IRQ_REJ,,,,,,
UNC_C_RxR_OCCUPANCY.IPQ,,,,,,
UNC_C_RxR_OCCUPANCY.PRQ_REJ,,,,,,
UNC_C_SBO_CREDITS_ACQUIRED.AD,,,,,,
UNC_C_SBO_CREDITS_ACQUIRED.BL,,,,,,
UNC_C_SBO_CREDIT_OCCUPANCY.AD,,,,,,
UNC_C_SBO_CREDIT_OCCUPANCY.BL,,,,,,
UNC_C_TOR_INSERTS.OPCODE,,,,,,
UNC_C_TOR_INSERTS.OPCODE,LLC_REFERENCES.PCIE_NS_PARTIAL_WRITE,PCIe writes (partial cache line),:opc=0x180:tid=0x3e,,,
UNC_C_TOR_INSERTS.OPCODE,LLC_REFERENCES.CODE_LLC_PREFETCH,L2 demand and L2 prefetch code references to LLC,:opc=0x181,64,,
UNC_C_TOR_INSERTS.OPCODE,LLC_REFERENCES.STREAMING_FULL,Streaming stores (full cache line),:opc=0x18c,64,,
UNC_C_TOR_INSERTS.OPCODE,LLC_REFERENCES.STREAMING_PARTIAL,Streaming stores (partial cache line),:opc=0x18d,64,,
UNC_C_TOR_INSERTS.OPCODE,LLC_REFERENCES.PCIE_READ,PCIe read current,:opc=0x19e,64,,
UNC_C_TOR_INSERTS.OPCODE,LLC_REFERENCES.PCIE_WRITE,PCIe write references (full cache line),:opc=0x1c8:tid=0x3e,64,,
UNC_C_TOR_INSERTS.EVICTION,,,,,,
UNC_C_TOR_INSERTS.ALL,,,,,,
UNC_C_TOR_INSERTS.WB,,,,,,
UNC_C_TOR_INSERTS.MISS_OPCODE,,,,,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.DATA_READ,LLC misses - demand and prefetch data reads - excludes LLC prefetches,:opc=0x182,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.UNCACHEABLE,LLC misses - Uncacheable reads (from cpu) ,:opc=0x187,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.MMIO_READ,MMIO reads,:opc=0x187:nc=1,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.MMIO_WRITE,MMIO writes,:opc=0x18f:nc=1,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.RFO_LLC_PREFETCH,LLC prefetch misses for RFO,:opc=0x190,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.CODE_LLC_PREFETCH,LLC prefetch misses for code reads,:opc=0x191,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.DATA_LLC_PREFETCH,LLC prefetch misses for data reads,:opc=0x192,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.PCIE_READ,LLC misses for PCIe read current,:opc=0x19e,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.PCIE_WRITE,ItoM write misses (as part of fast string memcpy stores) + PCIe full line writes,:opc=0x1c8,64,,
UNC_C_TOR_INSERTS.MISS_OPCODE,LLC_MISSES.PCIE_NON_SNOOP_WRITE,PCIe write misses (full cache line),:opc=0x1c8:tid=0x3e,64,,
UNC_C_TOR_INSERTS.NID_OPCODE,,,,,,
UNC_C_TOR_INSERTS.NID_EVICTION,,,,,,
UNC_C_TOR_INSERTS.NID_ALL,,,,,,
UNC_C_TOR_INSERTS.NID_WB,,,,,,
UNC_C_TOR_INSERTS.NID_MISS_OPCODE,,,,,,
UNC_C_TOR_INSERTS.NID_MISS_ALL,,,,,,
UNC_C_TOR_INSERTS.MISS_LOCAL,,,,,,
UNC_C_TOR_INSERTS.MISS_REMOTE,,,,,,
UNC_C_TOR_INSERTS.LOCAL,,,,,,
UNC_C_TOR_INSERTS.REMOTE,,,,,,
UNC_C_TOR_INSERTS.MISS_LOCAL_OPCODE,,,,,,
UNC_C_TOR_INSERTS.MISS_REMOTE_OPCODE,,,,,,
UNC_C_TOR_INSERTS.LOCAL_OPCODE,,,,,,
UNC_C_TOR_INSERTS.REMOTE_OPCODE,,,,,,
UNC_C_TOR_OCCUPANCY.OPCODE,,,,,,
UNC_C_TOR_OCCUPANCY.EVICTION,,,,,,
UNC_C_TOR_OCCUPANCY.ALL,,,,,,
UNC_C_TOR_OCCUPANCY.MISS_OPCODE,UNC_C_TOR_OCCUPANCY.LLC_DATA_READ,Occupancy counter for LLC data reads (demand and L2 prefetch),:opc=0x182,,,
UNC_C_TOR_OCCUPANCY.MISS_ALL,,,,,,
UNC_C_TOR_OCCUPANCY.NID_OPCODE,,,,,,
UNC_C_TOR_OCCUPANCY.NID_EVICTION,,,,,,
UNC_C_TOR_OCCUPANCY.NID_ALL,,,,,,
UNC_C_TOR_OCCUPANCY.NID_MISS_OPCODE,,,,,,
UNC_C_TOR_OCCUPANCY.NID_MISS_ALL,,,,,,
UNC_C_TOR_OCCUPANCY.MISS_LOCAL,,,,,,
UNC_C_TOR_OCCUPANCY.MISS_REMOTE,,,,,,
UNC_C_TOR_OCCUPANCY.LOCAL,,,,,,
UNC_C_TOR_OCCUPANCY.REMOTE,,,,,,
UNC_C_TOR_OCCUPANCY.MISS_LOCAL_OPCODE,,,,,,
UNC_C_TOR_OCCUPANCY.MISS_REMOTE_OPCODE,,,,,,
UNC_C_TOR_OCCUPANCY.LOCAL_OPCODE,,,,,,
UNC_C_TOR_OCCUPANCY.REMOTE_OPCODE,,,,,,
UNC_C_TOR_OCCUPANCY.WB,,,,,,
UNC_C_TOR_OCCUPANCY.NID_WB,,,,,,
UNC_C_TxR_ADS_USED.AD,,,,,,
UNC_C_TxR_ADS_USED.AK,,,,,,
UNC_C_TxR_ADS_USED.BL,,,,,,
UNC_C_TxR_INSERTS.AD_CACHE,,,,,,
UNC_C_TxR_INSERTS.AK_CACHE,,,,,,
UNC_C_TxR_INSERTS.BL_CACHE,,,,,,
UNC_C_TxR_INSERTS.IV_CACHE,,,,,,
UNC_C_TxR_INSERTS.AD_CORE,,,,,,
UNC_C_TxR_INSERTS.AK_CORE,,,,,,
UNC_C_TxR_INSERTS.BL_CORE,,,,,,
UNC_C_QLRU.AGE0,,,,,,
UNC_C_QLRU.AGE1,,,,,,
UNC_C_QLRU.AGE2,,,,,,
UNC_C_QLRU.AGE3,,,,,,
UNC_C_QLRU.LRU_DECREMENT,,,,,,
UNC_C_QLRU.VICTIM_NON_ZERO,,,,,,
UNC_C_RING_SINK_STARVED.AD,,,,,,
UNC_C_RING_SINK_STARVED.AK,,,,,,
UNC_C_RING_SINK_STARVED.IV,,,,,,
UNC_C_RING_SINK_STARVED.BL,,,,,,
UNC_C_RxR_INT_STARVED.IRQ,,,,,,
UNC_C_RxR_INT_STARVED.IPQ,,,,,,
UNC_C_RxR_INT_STARVED.ISMQ,,,,,,
UNC_C_RxR_INT_STARVED.PRQ,,,,,,
UNC_C_TxR_STARVED.AK_BOTH,,,,,,
UNC_C_TxR_STARVED.BL_BOTH,,,,,,
UNC_C_TxR_STARVED.IV,,,,,,
UNC_C_TxR_STARVED.AD_CORE,,,,,,
UNC_H_ADDR_OPC_MATCH.FILT,,,,,,
UNC_H_ADDR_OPC_MATCH.ADDR,,,,,,
UNC_H_ADDR_OPC_MATCH.OPC,,,,,,
UNC_H_ADDR_OPC_MATCH.AD,,,,,,
UNC_H_ADDR_OPC_MATCH.BL,,,,,,
UNC_H_ADDR_OPC_MATCH.AK,,,,,,
UNC_H_BT_CYCLES_NE,,,,,,
UNC_H_BYPASS_IMC.TAKEN,,,,,,
UNC_H_BYPASS_IMC.NOT_TAKEN,,,,,,
UNC_H_CLOCKTICKS,,,,,,
UNC_H_DIRECT2CORE_COUNT,,,,,,
UNC_H_DIRECT2CORE_CYCLES_DISABLED,,,,,,
UNC_H_DIRECT2CORE_TXN_OVERRIDE,,,,,,
UNC_H_DIRECTORY_LAT_OPT,,,,,,
UNC_H_DIRECTORY_LOOKUP.SNP,,,,,,
UNC_H_DIRECTORY_LOOKUP.NO_SNP,,,,,,
UNC_H_DIRECTORY_UPDATE.SET,,,,,,
UNC_H_DIRECTORY_UPDATE.CLEAR,,,,,,
UNC_H_DIRECTORY_UPDATE.ANY,,,,,,
UNC_H_HITME_HIT.READ_OR_INVITOE,,,,,,
UNC_H_HITME_HIT.WBMTOI,,,,,,
UNC_H_HITME_HIT.ACKCNFLTWBI,,,,,,
UNC_H_HITME_HIT.WBMTOE_OR_S,,,,,,
UNC_H_HITME_HIT.RSPFWDI_REMOTE,,,,,,
UNC_H_HITME_HIT.RSPFWDI_LOCAL,,,,,,
UNC_H_HITME_HIT.RSPFWDS,,,,,,
UNC_H_HITME_HIT.RSP,,,,,,
UNC_H_HITME_HIT.ALLOCS,,,,,,
UNC_H_HITME_HIT.EVICTS,,,,,,
UNC_H_HITME_HIT.INVALS,,,,,,
UNC_H_HITME_HIT.ALL,,,,,,
UNC_H_HITME_HIT.HOM,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.READ_OR_INVITOE,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.WBMTOI,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.ACKCNFLTWBI,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.WBMTOE_OR_S,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.RSPFWDI_REMOTE,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.RSPFWDI_LOCAL,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.RSPFWDS,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.RSP,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.ALL,,,,,,
UNC_H_HITME_HIT_PV_BITS_SET.HOM,,,,,,
UNC_H_HITME_LOOKUP.READ_OR_INVITOE,,,,,,
UNC_H_HITME_LOOKUP.WBMTOI,,,,,,
UNC_H_HITME_LOOKUP.ACKCNFLTWBI,,,,,,
UNC_H_HITME_LOOKUP.WBMTOE_OR_S,,,,,,
UNC_H_HITME_LOOKUP.RSPFWDI_REMOTE,,,,,,
UNC_H_HITME_LOOKUP.RSPFWDI_LOCAL,,,,,,
UNC_H_HITME_LOOKUP.RSPFWDS,,,,,,
UNC_H_HITME_LOOKUP.RSP,,,,,,
UNC_H_HITME_LOOKUP.ALLOCS,,,,,,
UNC_H_HITME_LOOKUP.INVALS,,,,,,
UNC_H_HITME_LOOKUP.ALL,,,,,,
UNC_H_HITME_LOOKUP.HOM,,,,,,
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI0,,,,,,
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI1,,,,,,
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI0,,,,,,
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI1,,,,,,
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI2,,,,,,
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI2,,,,,,
UNC_H_IMC_READS.NORMAL,,,,,,
UNC_H_IMC_RETRY,,,,,,
UNC_H_IMC_WRITES.FULL,,,,,,
UNC_H_IMC_WRITES.PARTIAL,,,,,,
UNC_H_IMC_WRITES.FULL_ISOCH,,,,,,
UNC_H_IMC_WRITES.PARTIAL_ISOCH,,,,,,
UNC_H_IMC_WRITES.ALL,,,,,,
UNC_H_OSB.READS_LOCAL,,,,,,
UNC_H_OSB.INVITOE_LOCAL,,,,,,
UNC_H_OSB.REMOTE,,,,,,
UNC_H_OSB.CANCELLED,,,,,,
UNC_H_OSB.READS_LOCAL_USEFUL,,,,,,
UNC_H_OSB.REMOTE_USEFUL,,,,,,
UNC_H_OSB_EDR.ALL,,,,,,
UNC_H_OSB_EDR.READS_LOCAL_I,,,,,,
UNC_H_OSB_EDR.READS_REMOTE_I,,,,,,
UNC_H_OSB_EDR.READS_LOCAL_S,,,,,,
UNC_H_OSB_EDR.READS_REMOTE_S,,,,,,
UNC_H_REQUESTS.READS,,,,,,
UNC_H_REQUESTS.WRITES,,,,,,
UNC_H_REQUESTS.READS_LOCAL,,,,,,
UNC_H_REQUESTS.READS_REMOTE,,,,,,
UNC_H_REQUESTS.WRITES_LOCAL,,,,,,
UNC_H_REQUESTS.WRITES_REMOTE,,,,,,
UNC_H_REQUESTS.INVITOE_LOCAL,,,,,,
UNC_H_REQUESTS.INVITOE_REMOTE,,,,,,
UNC_H_RING_AD_USED.CW_EVEN,,,,,,
UNC_H_RING_AD_USED.CW_ODD,,,,,,
UNC_H_RING_AD_USED.CCW_EVEN,,,,,,
UNC_H_RING_AD_USED.CCW_ODD,,,,,,
UNC_H_RING_AD_USED.CW,,,,,,
UNC_H_RING_AD_USED.CCW,,,,,,
UNC_H_RING_AK_USED.CW_EVEN,,,,,,
UNC_H_RING_AK_USED.CW_ODD,,,,,,
UNC_H_RING_AK_USED.CCW_EVEN,,,,,,
UNC_H_RING_AK_USED.CCW_ODD,,,,,,
UNC_H_RING_AK_USED.CW,,,,,,
UNC_H_RING_AK_USED.CCW,,,,,,
UNC_H_RING_BL_USED.CW_EVEN,,,,,,
UNC_H_RING_BL_USED.CW_ODD,,,,,,
UNC_H_RING_BL_USED.CCW_EVEN,,,,,,
UNC_H_RING_BL_USED.CCW_ODD,,,,,,
UNC_H_RING_BL_USED.CW,,,,,,
UNC_H_RING_BL_USED.CCW,,,,,,
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN0,,,,,,
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN1,,,,,,
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN2,,,,,,
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN3,,,,,,
UNC_H_SBO0_CREDITS_ACQUIRED.AD,,,,,,
UNC_H_SBO0_CREDITS_ACQUIRED.BL,,,,,,
UNC_H_SBO0_CREDIT_OCCUPANCY.AD,,,,,,
UNC_H_SBO0_CREDIT_OCCUPANCY.BL,,,,,,
UNC_H_SBO1_CREDITS_ACQUIRED.AD,,,,,,
UNC_H_SBO1_CREDITS_ACQUIRED.BL,,,,,,
UNC_H_SBO1_CREDIT_OCCUPANCY.AD,,,,,,
UNC_H_SBO1_CREDIT_OCCUPANCY.BL,,,,,,
UNC_H_SNOOPS_RSP_AFTER_DATA.LOCAL,,,,,,
UNC_H_SNOOPS_RSP_AFTER_DATA.REMOTE,,,,,,
UNC_H_SNOOP_CYCLES_NE.LOCAL,,,,,,
